ADM0_NAME,DateOfReport,cum_conf,cum_death,ID,CENTER_LON,CENTER_LAT,ADM0_VIZ_NAME,Short_Name_ZH,Short_Name_FR,Short_Name_ES,Short_Name_RU,Short_Name_AR
Saint Lucia,2020-04-01T00:00:00.000Z,13,0,85436,-60.96869084,13.89811518,Saint Lucia,圣卢西亚,Sainte-Lucie,Santa Lucía,Сент-Люсия,سانت لوسيا
Curacao,2020-04-01T00:00:00.000Z,11,1,85437,-68.96749055,12.18779752,Curacao,"库拉索岛
",,,,
Dominica,2020-04-01T00:00:00.000Z,11,0,85438,-61.35549385,15.43661252,Dominica,多米尼克,Dominique,Dominica,Доминика,دومينيكا
Grenada,2020-04-01T00:00:00.000Z,9,0,85439,-61.65003909,12.16251573,Grenada,格林纳达,Grenade,Granada,Гренада,غرينادا
Saint Kitts and Nevis,2020-04-01T00:00:00.000Z,8,0,85440,-62.69617397,17.26585656,Saint Kitts and Nevis,圣基茨和尼维斯,Saint-Kitts-et-Nevis,Saint Kitts y Nevis,Сент-Китс и Невис,سانت كيتس ونيفس
Suriname,2020-04-01T00:00:00.000Z,8,0,85441,-55.91158124,4.12671321,Suriname,苏里南,Suriname,Suriname,Суринам,سورينام
Antigua and Barbuda,2020-04-01T00:00:00.000Z,7,0,85442,-61.79112759,17.280137,Antigua and Barbuda,安提瓜和巴布达,Antigua-et-Barbuda,Antigua y Barbuda,Антигуа и Барбуда,أنتيغوا وبربودا
Saint Barthélemy,2020-04-01T00:00:00.000Z,6,0,85443,-62.83353803,17.9057614,Saint Barthélemy,"圣巴泰勒米
",,,,
Sint Maarten,2020-04-01T00:00:00.000Z,6,0,85444,-63.06194338,18.04683524,Sint Maarten,"圣马丁
",,,,
Montserrat,2020-04-01T00:00:00.000Z,5,0,85445,-62.18692145,16.73575969,Montserrat,"蒙特塞拉特岛
",,,,
Nicaragua,2020-04-01T00:00:00.000Z,5,1,85446,-85.03375025,12.84006976,Nicaragua,尼加拉瓜,Nicaragua,Nicaragua,Никарагуа,نيكاراغوا
Turks and Caicos Islands,2020-04-01T00:00:00.000Z,5,0,85447,-71.88207917,21.80869292,Turks and Caicos Islands,"特克斯和凯科斯群岛
",,,,
Belize,2020-04-01T00:00:00.000Z,3,0,85448,-88.68278545,17.21852829,Belize,伯利兹,Belize,Belice,Белиз,بليز
British Virgin Islands,2020-04-01T00:00:00.000Z,3,0,85449,-64.48189201,18.50995704,British Virgin Islands,"英属维尔京群岛
",,,,
Anguilla,2020-04-01T00:00:00.000Z,2,0,85450,-63.05795609,18.22423294,Anguilla,"安圭拉
",,,,
Saint Vincent and the Grenadines,2020-04-01T00:00:00.000Z,1,0,85451,-61.20753009,13.20205468,Saint Vincent and the Grenadines,圣文森特和格林纳丁斯,Saint-Vincent-et-les Grenadines,San Vicente y las Granadinas,Сент-Винсент и Гренадины,سانت فنسنت وجزر غرينادين
